gcat_trait_1-1-enyl-palmitoyl-2-linoleoyl-GPE_P-160182_measurement	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2) measurement
gcat_trait_1-1-enyl-palmitoyl-2-oleoyl-GPC_P-160181_measurement	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1) measurement
gcat_trait_1-1-enyl-palmitoyl-2-palmitoleoyl-GPC_P-160161_measurement	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1) measurement
gcat_trait_1-1-enyl-palmitoyl-2-palmitoyl-GPC_P-160160_measurement	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0) measurement
gcat_trait_1-1-enyl-palmitoyl-GPC_P-160_measurement	1-(1-enyl-palmitoyl)-GPC (P-16:0) measurement
gcat_trait_1-1-enyl-stearoyl-2-linoleoyl-GPE_P-180182_measurement	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)* measurement
gcat_trait_1-Methylhistidine_measurement	1-Methylhistidine measurement
gcat_trait_1-arachidonoyl-GPC_204n6_measurement	1-arachidonoyl-GPC (20:4n6) measurement
gcat_trait_1-arachidonoyl-GPE_204n6_measurement	1-arachidonoyl-GPE (20:4n6) measurement
gcat_trait_1-arachidonoyl-GPI_204_measurement	1-arachidonoyl-GPI (20:4) measurement
gcat_trait_1-docosahexaenoyl-GPE_226_measurement	1-docosahexaenoyl-GPE (22:6) measurement
gcat_trait_1-linoleoyl-2-arachidonoyl-GPC_182204n6_measurement	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6) measurement
gcat_trait_1-linoleoyl-GPE_182_measurement	1-linoleoyl-GPE (18:2) measurement
gcat_trait_1-linoleoyl-GPI_182_measurement	1-linoleoyl-GPI (18:2) measurement
gcat_trait_1-margaroyl-2-linoleoyl-GPC_170182_measurement	1-margaroyl-2-linoleoyl-GPC (17:0/18:2) measurement
gcat_trait_1-methylurate_measurement	1-methylurate measurement
gcat_trait_1-methylxanthine_measurement	1-methylxanthine measurement
gcat_trait_1-oleoyl-2-docosahexaenoyl-GPC_181226_measurement	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6) measurement
gcat_trait_1-oleoyl-2-linoleoyl-GPE_181182_measurement	1-oleoyl-2-linoleoyl-GPE (18:1/18:2) measurement
gcat_trait_1-palmitoleoyl-GPC_161_measurement	1-palmitoleoyl-GPC (16:1) measurement
gcat_trait_1-palmitoyl-2-arachidonoyl-GPE_160204_measurement	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4) measurement
gcat_trait_1-palmitoyl-2-arachidonoyl-GPI_160204_measurement	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4) measurement
gcat_trait_1-palmitoyl-2-docosahexaenoyl-GPC_160226_measurement	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6) measurement
gcat_trait_1-palmitoyl-2-docosahexaenoyl-GPE_160226_measurement	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6) measurement
gcat_trait_1-palmitoyl-2-linoleoyl-GPC_160182_measurement	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2) measurement
gcat_trait_1-palmitoyl-2-linoleoyl-GPE_160182_measurement	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) measurement
gcat_trait_1-palmitoyl-2-linoleoyl-GPI_160182_measurement	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) measurement
gcat_trait_1-palmitoyl-2-oleoyl-GPE_160181_measurement	1-palmitoyl-2-oleoyl-GPE (16:0/18:1) measurement
gcat_trait_1-palmitoyl-2-oleoyl-GPI_160181_measurement	1-palmitoyl-2-oleoyl-GPI (16:0/18:1) measurement
gcat_trait_1-palmitoyl-2-stearoyl-GPC_160180_measurement	1-palmitoyl-2-stearoyl-GPC (16:0/18:0) measurement
gcat_trait_1-palmitoyl-GPC_160_measurement	1-palmitoyl-GPC (16:0) measurement
gcat_trait_1-palmitoyl-GPE_160_measurement	1-palmitoyl-GPE (16:0) measurement
gcat_trait_1-ribosyl-imidazoleacetate_measurement	1-ribosyl-imidazoleacetate measurement
gcat_trait_1-stearoyl-2-arachidonoyl-GPC_180204_measurement	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4) measurement
gcat_trait_1-stearoyl-2-arachidonoyl-GPE_180204_measurement	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4) measurement
gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) measurement
gcat_trait_1-stearoyl-2-docosahexaenoyl-GPC_180226_measurement	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6) measurement
gcat_trait_1-stearoyl-2-docosahexaenoyl-GPE_180226_measurement	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6) measurement
gcat_trait_1-stearoyl-2-docosapentaenoyl-GPC_180225n3_measurement	1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3) measurement
gcat_trait_1-stearoyl-2-linoleoyl-GPC_180182_measurement	1-stearoyl-2-linoleoyl-GPC (18:0/18:2) measurement
gcat_trait_1-stearoyl-2-linoleoyl-GPE_180182_measurement	1-stearoyl-2-linoleoyl-GPE (18:0/18:2) measurement
gcat_trait_1-stearoyl-2-linoleoyl-GPI_180182_measurement	1-stearoyl-2-linoleoyl-GPI (18:0/18:2) measurement
gcat_trait_1-stearoyl-2-oleoyl-GPE_180181_measurement	1-stearoyl-2-oleoyl-GPE (18:0/18:1) measurement
gcat_trait_1-stearoyl-GPC_180_measurement	1-stearoyl-GPC (18:0) measurement
gcat_trait_1-stearoyl-GPE_180_measurement	1-stearoyl-GPE (18:0) measurement
gcat_trait_10-undecenoate_111n1_measurement	10-undecenoate 11:1n1 measurement
gcat_trait_11beta-hydroxyandrosterone_glucuronide_measurement	11beta-hydroxyandrosterone glucuronide measurement
gcat_trait_12-dilinoleoyl-GPC_182182_measurement	1;2-dilinoleoyl-GPC (18:2/18:2) measurement
gcat_trait_12-dipalmitoyl-GPC_160160_measurement	1;2-dipalmitoyl-GPC (16:0/16:0) measurement
gcat_trait_137-trimethylurate_measurement	1;3;7-trimethylurate measurement
gcat_trait_15_anhydroglucitol_measurement	1;5 anhydroglucitol measurement
gcat_trait_16a-hydroxy_DHEA_3-sulfate_measurement	16a-hydroxy DHEA 3-sulfate measurement
gcat_trait_17-dimethylurate_measurement	1;7-dimethylurate measurement
gcat_trait_17-hydroxyprogesterone_measurement	17-hydroxyprogesterone measurement
gcat_trait_2-aminobutyrate_measurement	2-aminobutyrate measurement
gcat_trait_2-aminooctanoate_measurement	2-aminooctanoate measurement
gcat_trait_2-hydroxy-3-methylvalerate_measurement	2-hydroxy-3-methylvalerate measurement
gcat_trait_2-hydroxyglutarate_measurement	2-hydroxyglutarate measurement
gcat_trait_2-stearoyl-GPE_180_measurement	2-stearoyl-GPE (18:0) measurement
gcat_trait_21-hydroxypregnenolone_disulfate_measurement	21-hydroxypregnenolone disulfate measurement
gcat_trait_245-trichlorophenol_measurement	2;4;5-trichlorophenol measurement
gcat_trait_3-aminoisobutyrate_measurement	3-aminoisobutyrate measurement
